MSN,Description,Unit,Energy type,sector,appendix,unit2,cleanliness
ABICB,Aviation gasoline blending components consumed by the industrial sector.,Billion Btu,AB,I,C,B,
ABICP,Aviation gasoline blending components consumed by the industrial sector.,Thousand barrels,AB,I,C,P,
ARICB,Asphalt and road oil consumed by the industrial sector.,Billion Btu,AR,I,C,B,
ARICD,Asphalt and road oil price in the industrial sector.,Dollars per million Btu,AR,I,C,D,
ARICP,Asphalt and road oil consumed by the industrial sector.,Thousand barrels,AR,I,C,P,
ARICV,Asphalt and road oil expenditures in the industrial sector.,Million dollars,AR,I,C,V,
ARTCB,Asphalt and road oil total consumption.,Billion Btu,AR,T,C,B,
ARTCD,"Asphalt and road oil average price, all sectors.",Dollars per million Btu,AR,T,C,D,
ARTCP,Asphalt and road oil total consumption.,Thousand barrels,AR,T,C,P,
ARTCV,Asphalt and road oil total expenditures.,Million dollars,AR,T,C,V,
ARTXB,Asphalt and road oil total end-use consumption.,Billion Btu,AR,T,X,B,
ARTXD,"Asphalt and road oil average price, all end-use sectors.",Dollars per million Btu,AR,T,X,D,
ARTXP,Asphalt and road oil total end-use consumption.,Thousand barrels,AR,T,X,P,
ARTXV,Asphalt and road oil total end-use expenditures.,Million dollars,AR,T,X,V,
AVACB,Aviation gasoline consumed by the transportation sector.,Billion Btu,AV,A,C,B,
AVACD,Aviation gasoline price in the transportation sector.,Dollars per million Btu,AV,A,C,D,
AVACP,Aviation gasoline consumed by the transportation sector.,Thousand barrels,AV,A,C,P,
AVACV,Aviation gasoline expenditures in the transportation sector.,Million dollars,AV,A,C,V,
AVTCB,Aviation gasoline total consumption.,Billion Btu,AV,T,C,B,
AVTCD,"Aviation gasoline average price, all sectors.",Dollars per million Btu,AV,T,C,D,
AVTCP,Aviation gasoline total consumption.,Thousand barrels,AV,T,C,P,
AVTCV,Aviation gasoline total expenditures.,Million dollars,AV,T,C,V,
AVTXB,Aviation gasoline total end-use consumption.,Billion Btu,AV,T,X,B,
